target,Date,latitude,longitude,month,day,day_of_year,year,Distance_to_equator,Is_dry_season,Temp_max_avg,Temp_max_max,Humidity_avg,Humidity_min,Precip_total,Days_no_rain,Wind_avg,Wind_max
0,2016-12-14,-6.682240904919321,-76.14970898536502,12,14,349,2016,741.7287404460446,0,31.566,35.35,72.57166666666667,61.65,80.38000000000004,1.0,0.025666666666666667,0.08
1,2016-12-14,-6.7457,-76.1859,12,14,349,2016,748.7727,0,31.566,35.35,72.57166666666667,61.65,80.38000000000004,1.0,0.025666666666666667,0.08
1,2016-12-14,-7.727,-76.4924,12,14,349,2016,857.697,0,31.50733333333333,35.26,70.53433333333334,60.25,83.55000000000004,1.0,0.018666666666666665,0.09
1,2016-12-14,-6.9226,-76.866,12,14,349,2016,768.4086,0,31.75733333333333,35.22,63.865,48.29,34.37000000000002,1.0,0.034,0.11
0,2016-12-15,-5.733329701316475,-76.97970479241751,12,15,350,2016,636.3995968461287,0,29.948,34.15,76.42733333333334,61.21,102.96,0.0,0.058333333333333334,0.12
0,2016-12-15,-7.0805818707385395,-75.71658427890108,12,15,350,2016,785.9445876519779,0,31.869333333333334,36.4,74.77,61.48,98.61999999999998,1.0,0.015333333333333334,0.09
0,2016-12-15,-7.4582565567314925,-76.8374558308584,12,15,350,2016,827.8664777971957,0,29.066666666666666,32.64,68.35166666666667,55.4,45.60000000000001,3.0,0.2873333333333334,0.36
0,2016-12-15,-7.179164728014299,-77.26673458504925,12,15,350,2016,796.8872848095872,0,22.469333333333335,28.01,71.18833333333333,37.64,27.68,3.0,1.1053333333333333,1.93
0,2016-12-15,-6.08674868659818,-77.38664384875209,12,15,350,2016,675.629104212398,0,23.732333333333333,28.42,74.45066666666666,40.14,40.85000000000001,1.0,1.5853333333333335,2.26
0,2016-12-15,-5.444716599482646,-75.83682474093726,12,15,350,2016,604.3635425425738,0,30.87633333333333,35.25,82.213,71.26,164.44000000000003,0.0,0.09266666666666667,0.16
0,2016-12-16,-6.469524270312644,-76.04017356223993,12,16,351,2016,718.1171940047035,0,31.220666666666666,35.35,73.919,61.65,109.89000000000004,1.0,0.028333333333333332,0.08
0,2016-12-16,-5.49325291733823,-76.90069379643876,12,16,351,2016,609.7510738245436,0,29.691333333333333,34.15,77.39899999999999,61.21,131.48999999999998,0.0,0.05933333333333334,0.12
0,2016-12-16,-5.977250221064096,-76.70445078164089,12,16,351,2016,663.4747745381146,0,28.201999999999998,32.26,76.07533333333335,56.84,102.42000000000002,0.0,0.022333333333333334,0.13
0,2016-12-16,-6.25350724604799,-77.4340170352428,12,16,351,2016,694.1393043113269,0,22.731666666666666,28.79,71.93933333333332,33.87,43.24,2.0,1.325,2.26
0,2016-12-16,-7.584063938890335,-77.08532363724217,12,16,351,2016,841.8310972168272,0,28.802666666666664,32.64,69.41433333333333,55.54,52.05000000000001,3.0,0.2876666666666667,0.36
0,2016-12-17,-5.693256209324268,-76.57722873694159,12,17,352,2016,631.9514392349937,0,29.49666666666667,34.15,78.07166666666667,61.21,133.98999999999998,0.0,0.062000000000000006,0.14
0,2016-12-17,-6.998414939340265,-75.67912715079014,12,17,352,2016,776.8240582667694,0,31.432333333333336,36.4,76.24766666666667,61.48,125.49999999999997,0.0,0.02033333333333333,0.09
0,2016-12-18,-5.557069716448366,-75.65393079947539,12,18,353,2016,616.8347385257686,0,30.479666666666667,35.25,83.46333333333334,71.26,207.22000000000006,1.0,0.09633333333333333,0.16
0,2016-12-18,-6.819960436835468,-75.76204305997081,12,18,353,2016,757.015608488737,0,31.343999999999998,36.4,76.61699999999999,61.48,125.91999999999997,1.0,0.021,0.09
0,2016-12-18,-6.037617039183259,-75.8633441160442,12,18,353,2016,670.1754913493418,0,31.028333333333332,36.22,80.67066666666666,66.5,182.12999999999994,1.0,0.04666666666666667,0.12
0,2016-12-18,-6.300702389014246,-76.09062532956851,12,18,353,2016,699.3779651805813,0,30.889333333333333,35.35,74.94833333333332,61.65,111.37000000000003,1.0,0.030999999999999996,0.09
0,2016-12-19,-6.161493803649726,-77.185392683239,12,19,354,2016,683.9258122051197,0,27.855666666666668,32.26,77.85533333333333,56.84,105.56000000000002,1.0,0.027,0.13
0,2016-12-19,-5.621781873154133,-75.59201486751932,12,19,354,2016,624.0177879201088,0,30.409,35.25,83.89633333333335,71.26,209.15000000000003,1.0,0.097,0.16
0,2016-12-20,-7.206553379936274,-76.41990893868237,12,20,355,2016,799.9274251729264,0,31.60333333333333,35.91,71.657,57.98,83.12999999999998,2.0,0.016666666666666666,0.07
0,2016-12-20,-5.692068833993068,-76.92243000249631,12,20,355,2016,631.8196405732306,0,29.246,34.15,79.57833333333333,61.21,136.51,2.0,0.06766666666666668,0.15
0,2016-12-20,-6.886318678721428,-75.69795842959347,12,20,355,2016,764.3813733380784,0,31.130333333333336,36.4,77.20633333333333,61.48,123.51999999999998,3.0,0.020000000000000004,0.09
0,2016-12-20,-7.181016545835497,-77.14662187463146,12,20,355,2016,797.0928365877402,0,31.033333333333335,35.22,67.09533333333334,48.29,50.200000000000024,3.0,0.038000000000000006,0.11
1,2016-12-21,-6.2781,-76.6899,12,21,356,2016,696.8691,0,28.033,32.27,73.28133333333334,54.92,70.80999999999997,3.0,0.017000000000000005,0.1
